dst,duration_s,episode,jitter_ms,loss_pct,port,protocol,src,throughput_mbps,timestamp
h4,8,1,,,5002,tcp,h2,10.3,2026-05-10T21:59:58.307373Z
h5,8,1,0.141,0.53,6001,udp,h1,,2026-05-10T21:59:58.308770Z
h4,8,1,0.114,2.1,6002,udp,h2,,2026-05-10T21:59:58.310173Z
h5,8,1,,,5001,tcp,h1,6.45,2026-05-10T21:59:58.310438Z
h4,8,2,0.107,0.48,6002,udp,h2,,2026-05-10T22:00:06.483729Z
h5,8,2,0.118,0.27,6001,udp,h1,,2026-05-10T22:00:06.687379Z
h4,8,2,,,5002,tcp,h2,5.75,2026-05-10T22:00:07.692834Z
h5,8,2,,,5001,tcp,h1,5.64,2026-05-10T22:00:07.693429Z
h5,8,3,0.098,0.34,6001,udp,h1,,2026-05-10T22:00:15.858458Z
h4,8,3,0.107,0.48,6002,udp,h2,,2026-05-10T22:00:16.291891Z
h4,8,3,,,5002,tcp,h2,5.86,2026-05-10T22:00:17.336503Z
h5,8,3,,,5001,tcp,h1,7.76,2026-05-10T22:00:17.337290Z
h5,8,4,,,5001,tcp,h1,10.1,2026-05-10T22:00:27.375635Z
h5,8,4,0.113,1.3,6001,udp,h1,,2026-05-10T22:00:27.376244Z
h4,8,4,,,5002,tcp,h2,9.54,2026-05-10T22:00:29.357236Z
h4,8,4,0.113,1.8,6002,udp,h2,,2026-05-10T22:00:29.357890Z
h5,8,5,,,5001,tcp,h1,12.4,2026-05-10T22:00:40.323489Z
h4,8,5,,,5002,tcp,h2,12.8,2026-05-10T22:00:41.601154Z
h5,8,5,0.115,1.5,6001,udp,h1,,2026-05-10T22:00:41.601756Z
h4,8,5,0.115,2.1,6002,udp,h2,,2026-05-10T22:00:41.602173Z
h4,8,6,,,5002,tcp,h2,8.41,2026-05-10T22:00:52.512919Z
h4,8,6,0.115,1.7,6002,udp,h2,,2026-05-10T22:00:52.513648Z
h5,8,6,0.128,0.33,6001,udp,h1,,2026-05-10T22:00:52.514126Z
h5,8,6,,,5001,tcp,h1,5.31,2026-05-10T22:00:52.514660Z
h4,8,7,0.102,0.47,6002,udp,h2,,2026-05-10T22:01:00.692598Z
h5,8,7,0.117,0.33,6001,udp,h1,,2026-05-10T22:01:01.038135Z
h4,8,7,,,5002,tcp,h2,6.17,2026-05-10T22:01:02.209188Z
h5,8,7,,,5001,tcp,h1,6.49,2026-05-10T22:01:02.209416Z
h5,8,8,,,5001,tcp,h1,9.12,2026-05-10T22:01:12.114202Z
h5,8,8,0.114,1.2,6001,udp,h1,,2026-05-10T22:01:12.114878Z
h4,8,8,0.109,0.49,6002,udp,h2,,2026-05-10T22:01:12.115242Z
h4,8,8,,,5002,tcp,h2,5.57,2026-05-10T22:01:12.346377Z
h4,8,9,,,5002,tcp,h2,14.0,2026-05-10T22:01:24.494419Z
h5,8,9,,,5001,tcp,h1,12.9,2026-05-10T22:01:24.495429Z
h4,8,9,0.113,2.3,6002,udp,h2,,2026-05-10T22:01:24.495777Z
h5,8,9,0.114,1.6,6001,udp,h1,,2026-05-10T22:01:24.496109Z
h5,8,10,,,5001,tcp,h1,7.46,2026-05-10T22:01:34.434559Z
h5,8,10,0.114,1.0,6001,udp,h1,,2026-05-10T22:01:34.435201Z
h4,8,10,,,5002,tcp,h2,9.13,2026-05-10T22:01:36.013021Z
h4,8,10,0.114,1.6,6002,udp,h2,,2026-05-10T22:01:36.013674Z
h5,8,11,0.154,0.29,6001,udp,h1,,2026-05-10T22:01:45.027280Z
h4,8,11,0.109,0.56,6002,udp,h2,,2026-05-10T22:01:45.028125Z
h4,8,11,,,5002,tcp,h2,5.8,2026-05-10T22:01:45.604439Z
h5,8,11,,,5001,tcp,h1,6.95,2026-05-10T22:01:45.605105Z
h5,8,12,0.106,0.28,6001,udp,h1,,2026-05-10T22:01:53.771048Z
h5,8,12,,,5001,tcp,h1,5.58,2026-05-10T22:01:54.752233Z
h4,8,12,0.106,0.52,6002,udp,h2,,2026-05-10T22:01:54.752776Z
h4,8,12,,,5002,tcp,h2,5.85,2026-05-10T22:01:56.086909Z
h4,8,13,,,5002,tcp,h2,8.46,2026-05-10T22:02:06.881492Z
h4,8,13,0.113,1.7,6002,udp,h2,,2026-05-10T22:02:06.882004Z
h5,8,13,,,5001,tcp,h1,10.3,2026-05-10T22:02:06.882279Z
h5,8,13,0.115,1.3,6001,udp,h1,,2026-05-10T22:02:06.882521Z
h4,8,14,0.097,0.51,6002,udp,h2,,2026-05-10T22:02:15.052852Z
h5,8,14,0.106,0.25,6001,udp,h1,,2026-05-10T22:02:15.360724Z
h5,8,14,,,5001,tcp,h1,5.54,2026-05-10T22:02:16.186264Z
h4,8,14,,,5002,tcp,h2,6.98,2026-05-10T22:02:16.824348Z
h5,8,15,0.101,0.3,6001,udp,h1,,2026-05-10T22:02:24.978164Z
h4,8,15,0.1,0.49,6002,udp,h2,,2026-05-10T22:02:25.412682Z
h5,8,15,,,5001,tcp,h1,6.1,2026-05-10T22:02:26.105738Z
h4,8,15,,,5002,tcp,h2,6.06,2026-05-10T22:02:26.874385Z
h5,8,16,,,5001,tcp,h1,8.57,2026-05-10T22:02:36.530674Z
h5,8,16,0.112,1.1,6001,udp,h1,,2026-05-10T22:02:36.531521Z
h4,8,16,,,5002,tcp,h2,8.53,2026-05-10T22:02:39.139762Z
h4,8,16,0.116,1.8,6002,udp,h2,,2026-05-10T22:02:39.140585Z
h5,8,17,0.164,0.28,6001,udp,h1,,2026-05-10T22:02:47.316152Z
h4,8,17,,,5002,tcp,h2,9.9,2026-05-10T22:02:51.028127Z
h5,8,17,,,5001,tcp,h1,5.87,2026-05-10T22:02:51.028459Z
h4,8,17,0.115,1.6,6002,udp,h2,,2026-05-10T22:02:51.028714Z
h5,8,18,0.138,0.5,6001,udp,h1,,2026-05-10T22:02:59.207799Z
h5,8,18,,,5001,tcp,h1,5.77,2026-05-10T22:03:00.315240Z
h4,8,18,,,5002,tcp,h2,8.43,2026-05-10T22:03:02.581775Z
h4,8,18,0.115,1.3,6002,udp,h2,,2026-05-10T22:03:02.582346Z
h5,8,19,0.151,0.49,6001,udp,h1,,2026-05-10T22:03:10.748979Z
h5,8,19,,,5001,tcp,h1,5.91,2026-05-10T22:03:11.759991Z
h4,8,19,0.106,0.52,6002,udp,h2,,2026-05-10T22:03:11.760930Z
h4,8,19,,,5002,tcp,h2,5.91,2026-05-10T22:03:12.777230Z
h5,8,20,,,5001,tcp,h1,8.07,2026-05-10T22:03:23.068789Z
h5,8,20,0.115,1.5,6001,udp,h1,,2026-05-10T22:03:23.069516Z
h4,8,20,0.108,0.5,6002,udp,h2,,2026-05-10T22:03:23.069862Z
h4,8,20,,,5002,tcp,h2,5.67,2026-05-10T22:03:23.070165Z
