state,action_len,reward,target,baseline,old_q,new_q,action_trials,update
"('h1', 'h5', 'util2', 'active0', 'rtt0', 'loss0')",4,-0.06,0.0,-0.06,0.0,0.0,1,1
"('h5', 'h1', 'util2', 'active0', 'rtt0', 'loss0')",4,-0.06,0.0,-0.06,0.0,0.0,1,2
"('h1', 'h4', 'util0', 'active1', 'rtt0', 'loss0')",4,-0.052,0.0,-0.052,0.0,0.0,1,3
"('h4', 'h1', 'util0', 'active1', 'rtt0', 'loss0')",4,-0.052,0.0,-0.052,0.0,0.0,1,4
"('h2', 'h4', 'util0', 'active0', 'rtt0', 'loss0')",3,-0.066,0.0,-0.066,0.0,0.0,1,5
"('h4', 'h2', 'util0', 'active0', 'rtt0', 'loss0')",3,-0.066,0.0,-0.066,0.0,0.0,1,6
"('h1', 'h4', 'util3', 'active0', 'rtt0', 'loss0')",3,-0.107,-0.164,-0.056,0.0,-0.046,1,7
"('h4', 'h1', 'util3', 'active0', 'rtt0', 'loss0')",3,-0.107,-0.164,-0.056,0.0,-0.046,1,8
"('h2', 'h4', 'util1', 'active0', 'rtt0', 'loss0')",4,-0.07,-0.013,-0.066,0.0,-0.004,1,9
"('h4', 'h2', 'util1', 'active0', 'rtt0', 'loss0')",4,-0.07,-0.013,-0.066,0.0,-0.004,1,10
"('h1', 'h5', 'util3', 'active0', 'rtt0', 'loss0')",4,-0.064,-0.009,-0.061,0.0,-0.003,1,11
"('h5', 'h1', 'util3', 'active0', 'rtt0', 'loss0')",4,-0.064,-0.009,-0.061,0.0,-0.003,1,12
"('h2', 'h4', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.059,0.02,-0.066,0.0,0.006,1,13
"('h4', 'h2', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.059,0.02,-0.066,0.0,0.006,1,14
"('h1', 'h4', 'util1', 'active0', 'rtt0', 'loss0')",4,-0.052,0.012,-0.055,0.0,0.003,1,15
"('h4', 'h1', 'util1', 'active0', 'rtt0', 'loss0')",4,-0.052,0.012,-0.055,0.0,0.003,1,16
"('h1', 'h5', 'util3', 'active0', 'rtt0', 'loss0')",4,-0.063,-0.007,-0.061,0.0,-0.002,1,17
"('h5', 'h1', 'util3', 'active0', 'rtt0', 'loss0')",4,-0.063,-0.007,-0.061,0.0,-0.002,1,18
"('h1', 'h5', 'util3', 'active0', 'rtt0', 'loss0')",4,-0.062,-0.002,-0.061,0.0,-0.001,1,19
"('h5', 'h1', 'util3', 'active0', 'rtt0', 'loss0')",4,-0.062,-0.002,-0.061,0.0,-0.001,1,20
"('h1', 'h4', 'util0', 'active0', 'rtt0', 'loss0')",3,-0.088,-0.098,-0.057,0.0,-0.027,2,21
"('h4', 'h1', 'util0', 'active0', 'rtt0', 'loss0')",3,-0.088,-0.098,-0.057,0.0,-0.027,2,22
"('h2', 'h4', 'util1', 'active1', 'rtt0', 'loss0')",3,-0.086,-0.061,-0.067,0.0,-0.017,1,23
"('h4', 'h2', 'util1', 'active1', 'rtt0', 'loss0')",3,-0.086,-0.061,-0.067,0.0,-0.017,1,24
"('h1', 'h5', 'util3', 'active0', 'rtt0', 'loss0')",3,-0.114,-0.16,-0.064,0.0,-0.045,2,25
"('h5', 'h1', 'util3', 'active0', 'rtt0', 'loss0')",3,-0.114,-0.16,-0.064,0.0,-0.045,2,26
"('h1', 'h4', 'util1', 'active0', 'rtt0', 'loss0')",4,-0.061,-0.01,-0.057,0.0,-0.003,1,27
"('h4', 'h1', 'util1', 'active0', 'rtt0', 'loss0')",4,-0.061,-0.01,-0.057,0.0,-0.003,1,28
"('h1', 'h5', 'util3', 'active0', 'rtt0', 'loss0')",4,-0.053,0.034,-0.063,0.0,0.009,2,29
"('h5', 'h1', 'util3', 'active0', 'rtt0', 'loss0')",4,-0.053,0.034,-0.063,0.0,0.009,2,30
"('h2', 'h4', 'util1', 'active0', 'rtt1', 'loss0')",3,-0.054,0.04,-0.066,0.0,0.011,1,31
"('h4', 'h2', 'util1', 'active0', 'rtt1', 'loss0')",3,-0.054,0.04,-0.066,0.0,0.011,1,32
"('h2', 'h4', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.054,0.037,-0.066,0.0,0.01,1,33
"('h4', 'h2', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.054,0.037,-0.066,0.0,0.01,1,34
"('h2', 'h4', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.089,-0.071,-0.067,0.0,-0.02,1,35
"('h4', 'h2', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.089,-0.071,-0.067,0.0,-0.02,1,36
"('h1', 'h4', 'util3', 'active0', 'rtt0', 'loss0')",3,-0.05,0.023,-0.057,0.0,0.006,1,37
"('h4', 'h1', 'util3', 'active0', 'rtt0', 'loss0')",3,-0.05,0.023,-0.057,0.0,0.006,1,38
"('h1', 'h4', 'util0', 'active0', 'rtt0', 'loss0')",3,-0.065,-0.025,-0.058,0.0,-0.007,2,39
"('h4', 'h1', 'util0', 'active0', 'rtt0', 'loss0')",3,-0.065,-0.025,-0.058,0.0,-0.007,2,40
"('h1', 'h5', 'util3', 'active0', 'rtt0', 'loss0')",4,-0.051,0.036,-0.063,0.009,0.017,4,41
"('h5', 'h1', 'util3', 'active0', 'rtt0', 'loss0')",4,-0.051,0.036,-0.063,0.009,0.017,4,42
"('h2', 'h4', 'util1', 'active1', 'rtt0', 'loss0')",3,-0.053,0.041,-0.066,0.0,0.011,2,43
"('h4', 'h2', 'util1', 'active1', 'rtt0', 'loss0')",3,-0.053,0.041,-0.066,0.0,0.011,2,44
"('h2', 'h4', 'util1', 'active0', 'rtt0', 'loss0')",4,-0.082,-0.046,-0.067,0.0,-0.013,1,45
"('h4', 'h2', 'util1', 'active0', 'rtt0', 'loss0')",4,-0.082,-0.046,-0.067,0.0,-0.013,1,46
"('h1', 'h5', 'util0', 'active0', 'rtt0', 'loss0')",3,-0.087,-0.072,-0.064,0.0,-0.02,1,47
"('h5', 'h1', 'util0', 'active0', 'rtt0', 'loss0')",3,-0.087,-0.072,-0.064,0.0,-0.02,1,48
"('h1', 'h5', 'util0', 'active0', 'rtt0', 'loss0')",4,-0.057,0.022,-0.064,0.0,0.006,2,49
"('h5', 'h1', 'util0', 'active0', 'rtt0', 'loss0')",4,-0.057,0.022,-0.064,0.0,0.006,2,50
"('h1', 'h4', 'util3', 'active0', 'rtt0', 'loss0')",3,-0.054,0.011,-0.057,0.006,0.008,3,51
"('h4', 'h1', 'util3', 'active0', 'rtt0', 'loss0')",3,-0.054,0.011,-0.057,0.006,0.008,3,52
"('h1', 'h4', 'util3', 'active0', 'rtt0', 'loss0')",4,-0.058,-0.001,-0.057,0.0,-0.0,1,53
"('h4', 'h1', 'util3', 'active0', 'rtt0', 'loss0')",4,-0.058,-0.001,-0.057,0.0,-0.0,1,54
"('h1', 'h5', 'util0', 'active0', 'rtt0', 'loss0')",4,-0.06,0.012,-0.063,0.0,0.003,3,55
"('h5', 'h1', 'util0', 'active0', 'rtt0', 'loss0')",4,-0.06,0.012,-0.063,0.0,0.003,3,56
"('h2', 'h4', 'util0', 'active0', 'rtt0', 'loss0')",3,-0.063,0.012,-0.067,0.0,0.003,2,57
"('h4', 'h2', 'util0', 'active0', 'rtt0', 'loss0')",3,-0.063,0.012,-0.067,0.0,0.003,3,58
"('h1', 'h5', 'util0', 'active0', 'rtt0', 'loss0')",4,-0.056,0.022,-0.063,0.0,0.006,1,59
"('h5', 'h1', 'util0', 'active0', 'rtt0', 'loss0')",4,-0.056,0.022,-0.063,0.0,0.006,1,60
"('h1', 'h4', 'util3', 'active0', 'rtt0', 'loss0')",4,-0.062,-0.013,-0.058,0.0,-0.004,2,61
"('h4', 'h1', 'util3', 'active0', 'rtt0', 'loss0')",4,-0.062,-0.013,-0.058,0.0,-0.004,2,62
"('h1', 'h4', 'util2', 'active1', 'rtt0', 'loss0')",4,-0.05,0.022,-0.057,0.0,0.006,1,63
"('h4', 'h1', 'util2', 'active1', 'rtt0', 'loss0')",4,-0.05,0.022,-0.057,0.0,0.006,1,64
"('h2', 'h4', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.065,0.005,-0.067,0.01,0.009,2,65
"('h4', 'h2', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.065,0.005,-0.067,0.01,0.009,2,66
"('h1', 'h5', 'util3', 'active0', 'rtt0', 'loss0')",4,-0.06,0.01,-0.063,0.017,0.015,6,67
"('h5', 'h1', 'util3', 'active0', 'rtt0', 'loss0')",4,-0.06,0.01,-0.063,0.017,0.015,6,68
"('h1', 'h4', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.053,0.012,-0.057,0.0,0.003,2,69
"('h4', 'h1', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.053,0.012,-0.057,0.0,0.003,2,70
"('h2', 'h4', 'util3', 'active0', 'rtt0', 'loss0')",3,-0.068,-0.003,-0.067,0.0,-0.001,1,71
"('h4', 'h2', 'util3', 'active0', 'rtt0', 'loss0')",3,-0.068,-0.003,-0.067,0.0,-0.001,1,72
"('h2', 'h4', 'util0', 'active0', 'rtt0', 'loss0')",3,-0.065,0.007,-0.067,0.003,0.004,4,73
"('h4', 'h2', 'util0', 'active0', 'rtt0', 'loss0')",3,-0.065,0.007,-0.067,0.003,0.004,5,74
"('h1', 'h4', 'util0', 'active1', 'rtt0', 'loss0')",4,-0.061,-0.012,-0.057,0.0,-0.003,1,75
"('h4', 'h1', 'util0', 'active1', 'rtt0', 'loss0')",4,-0.061,-0.012,-0.057,0.0,-0.003,1,76
"('h1', 'h4', 'util0', 'active0', 'rtt0', 'loss0')",3,-0.078,-0.062,-0.058,-0.027,-0.037,3,77
"('h4', 'h1', 'util0', 'active0', 'rtt0', 'loss0')",3,-0.078,-0.062,-0.058,-0.027,-0.037,3,78
"('h2', 'h4', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.056,0.031,-0.066,0.006,0.013,5,79
"('h4', 'h2', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.056,0.031,-0.066,0.006,0.013,5,80
"('h1', 'h5', 'util1', 'active0', 'rtt0', 'loss0')",4,-0.053,0.031,-0.062,0.0,0.009,1,81
"('h5', 'h1', 'util1', 'active0', 'rtt0', 'loss0')",4,-0.053,0.031,-0.062,0.0,0.009,1,82
"('h1', 'h5', 'util3', 'active0', 'rtt0', 'loss0')",4,-0.059,0.01,-0.062,0.015,0.014,8,83
"('h5', 'h1', 'util3', 'active0', 'rtt0', 'loss0')",4,-0.059,0.01,-0.062,0.015,0.014,8,84
"('h1', 'h4', 'util3', 'active0', 'rtt0', 'loss0')",4,-0.054,0.013,-0.058,-0.0,0.003,2,85
"('h4', 'h1', 'util3', 'active0', 'rtt0', 'loss0')",4,-0.054,0.013,-0.058,-0.0,0.003,2,86
"('h2', 'h4', 'util0', 'active0', 'rtt0', 'loss0')",3,-0.056,0.03,-0.065,0.0,0.008,2,87
"('h4', 'h2', 'util0', 'active0', 'rtt0', 'loss0')",3,-0.056,0.03,-0.065,0.0,0.008,2,88
"('h1', 'h5', 'util0', 'active0', 'rtt0', 'loss0')",3,-0.085,-0.069,-0.063,-0.02,-0.034,3,89
"('h5', 'h1', 'util0', 'active0', 'rtt0', 'loss0')",3,-0.085,-0.069,-0.063,-0.02,-0.034,3,90
"('h1', 'h4', 'util3', 'active0', 'rtt0', 'loss0')",4,-0.065,-0.021,-0.059,0.0,-0.006,1,91
"('h4', 'h1', 'util3', 'active0', 'rtt0', 'loss0')",4,-0.065,-0.021,-0.059,0.0,-0.006,1,92
"('h1', 'h5', 'util3', 'active0', 'rtt0', 'loss0')",4,-0.068,-0.014,-0.064,0.014,0.006,10,93
"('h5', 'h1', 'util3', 'active0', 'rtt0', 'loss0')",4,-0.068,-0.014,-0.064,0.014,0.006,10,94
"('h2', 'h4', 'util1', 'active1', 'rtt0', 'loss0')",3,-0.052,0.041,-0.065,0.011,0.02,3,95
"('h4', 'h2', 'util1', 'active1', 'rtt0', 'loss0')",3,-0.052,0.041,-0.065,0.011,0.02,3,96
"('h1', 'h4', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.066,-0.023,-0.059,0.003,-0.004,3,97
"('h4', 'h1', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.066,-0.023,-0.059,0.003,-0.004,3,98
"('h1', 'h4', 'util0', 'active0', 'rtt0', 'loss0')",4,-0.052,0.02,-0.059,0.0,0.006,3,99
"('h4', 'h1', 'util0', 'active0', 'rtt0', 'loss0')",4,-0.052,0.02,-0.059,0.0,0.006,3,100
"('h2', 'h4', 'util3', 'active0', 'rtt0', 'loss0')",3,-0.112,-0.141,-0.067,0.0,-0.04,1,101
"('h4', 'h2', 'util3', 'active0', 'rtt0', 'loss0')",3,-0.112,-0.141,-0.067,0.0,-0.04,1,102
"('h1', 'h5', 'util0', 'active0', 'rtt0', 'loss0')",4,-0.059,0.013,-0.063,0.006,0.008,4,103
"('h5', 'h1', 'util0', 'active0', 'rtt0', 'loss0')",4,-0.059,0.013,-0.063,0.006,0.008,4,104
"('h2', 'h4', 'util0', 'active1', 'rtt0', 'loss0')",3,-0.054,0.042,-0.067,0.0,0.012,1,105
"('h4', 'h2', 'util0', 'active1', 'rtt0', 'loss0')",3,-0.054,0.042,-0.067,0.0,0.012,1,106
"('h1', 'h5', 'util3', 'active0', 'rtt0', 'loss0')",4,-0.062,0.004,-0.063,-0.002,-0.0,3,107
"('h5', 'h1', 'util3', 'active0', 'rtt0', 'loss0')",4,-0.062,0.004,-0.063,-0.002,-0.0,3,108
"('h1', 'h4', 'util3', 'active0', 'rtt0', 'loss0')",3,-0.065,-0.02,-0.059,0.008,-0.0,6,109
"('h4', 'h1', 'util3', 'active0', 'rtt0', 'loss0')",3,-0.065,-0.02,-0.059,0.008,-0.0,6,110
"('h1', 'h5', 'util0', 'active0', 'rtt0', 'loss0')",4,-0.054,0.029,-0.063,0.008,0.014,6,111
"('h5', 'h1', 'util0', 'active0', 'rtt0', 'loss0')",4,-0.054,0.029,-0.063,0.008,0.014,6,112
"('h2', 'h4', 'util0', 'active0', 'rtt0', 'loss0')",3,-0.052,0.045,-0.066,0.004,0.016,5,113
"('h4', 'h2', 'util0', 'active0', 'rtt0', 'loss0')",3,-0.052,0.045,-0.066,0.004,0.016,6,114
"('h1', 'h4', 'util1', 'active1', 'rtt0', 'loss0')",3,-0.082,-0.07,-0.06,0.0,-0.02,2,115
"('h4', 'h1', 'util1', 'active1', 'rtt0', 'loss0')",3,-0.082,-0.07,-0.06,0.0,-0.02,2,116
"('h1', 'h5', 'util1', 'active1', 'rtt0', 'loss0')",3,-0.085,-0.066,-0.064,0.0,-0.019,1,117
"('h5', 'h1', 'util1', 'active1', 'rtt0', 'loss0')",3,-0.085,-0.066,-0.064,0.0,-0.019,1,118
"('h2', 'h4', 'util3', 'active0', 'rtt0', 'loss0')",3,-0.058,0.023,-0.065,0.0,0.006,2,119
"('h4', 'h2', 'util3', 'active0', 'rtt0', 'loss0')",3,-0.058,0.023,-0.065,0.0,0.006,1,120
"('h1', 'h4', 'util0', 'active0', 'rtt0', 'loss0')",4,-0.064,-0.012,-0.061,0.0,-0.003,3,121
"('h4', 'h1', 'util0', 'active0', 'rtt0', 'loss0')",4,-0.064,-0.012,-0.061,0.0,-0.003,3,122
"('h1', 'h5', 'util0', 'active1', 'rtt0', 'loss0')",4,-0.063,0.005,-0.064,0.0,0.001,1,123
"('h5', 'h1', 'util0', 'active1', 'rtt0', 'loss0')",4,-0.063,0.005,-0.064,0.0,0.001,1,124
"('h1', 'h4', 'util0', 'active0', 'rtt0', 'loss0')",4,-0.054,0.019,-0.06,0.006,0.009,4,125
"('h4', 'h1', 'util0', 'active0', 'rtt0', 'loss0')",4,-0.054,0.019,-0.06,0.006,0.009,4,126
